price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
1250000000.0,165.0,123.0,2.0,3.0,3.0,1.0
1200000000.0,109.0,77.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1350000000.0,205.0,160.0,2.0,3.0,2.0,
700000000.0,46.0,78.0,1.0,3.0,2.0,0.0
2200000000.0,154.0,154.0,1.0,3.0,2.0,
703000000.0,55.0,75.0,2.0,2.0,1.0,0.0
1050000000.0,108.0,72.0,2.0,3.0,2.0,0.0
1050000000.0,108.0,72.0,2.0,3.0,2.0,0.0
950000000.0,87.0,66.0,2.0,3.0,2.0,
2190000000.0,150.0,136.0,2.0,3.0,3.0,
950000000.0,87.0,66.0,2.0,3.0,2.0,
999000000.0,99.0,75.0,1.0,3.0,2.0,0.0
2100000000.0,120.0,104.0,1.0,3.0,3.0,0.0
545000000.0,42.0,72.0,1.0,2.0,1.0,0.0
725000000.0,121.0,80.0,1.0,3.0,2.0,
463000000.0,29.0,60.0,1.0,2.0,1.0,12.0
575000000.0,165.0,98.0,2.0,4.0,2.0,
320000000.0,135.0,108.0,1.0,2.0,1.0,6.0
468000000.0,45.0,72.0,1.0,2.0,1.0,0.0
168000000.0,29.0,60.0,1.0,2.0,1.0,0.0
875000000.0,75.0,90.0,1.0,3.0,1.0,0.0
496000000.0,36.0,72.0,1.0,2.0,1.0,0.0
779000000.0,63.0,53.0,2.0,3.0,2.0,0.0
800000000.0,69.0,90.0,1.0,3.0,1.0,
800000000.0,69.0,90.0,1.0,3.0,1.0,
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
1600000000.0,200.0,186.0,2.0,4.0,3.0,
1150000000.0,140.0,105.0,1.0,4.0,3.0,
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
42000000.0,40.0,60.0,1.0,2.0,2.0,1.0
1350000000.0,150.0,180.0,1.0,2.0,2.0,6.0
2200000000.0,230.0,210.0,2.0,4.0,2.0,6.0
